registro,type,modified,language,license,rightsHolder,accessRights,bibliographicCitation,references,institutionID,collectionID,datasetID,institutionCode,collectionCode,datasetName,ownerInstitutionCode,basisOfRecord,informationWithheld,dataGeneralizations,dynamicProperties,occurrenceID,catalogNumber,recordNumber,recordedBy,individualCount,organismQuantity,organismQuantityType,sex,lifeStage,reproductiveCondition,behavior,establishmentMeans,occurrenceStatus,preparations,disposition,associatedMedia,associatedReferences,associatedSequences,associatedTaxa,otherCatalogNumbers,occurrenceRemarks,organismID,organismName,organismScope,associatedOccurrences,associatedOrganisms,previousIdentifications,organismRemarks,materialSampleID,eventID,parentEventID,fieldNumber,eventDate,eventTime,startDayOfYear,endDayOfYear,year,month,day,verbatimEventDate,habitat,samplingProtocol,sampleSizeValue,sampleSizeUnit,samplingEffort,fieldNotes,eventRemarks,locationID,higherGeographyID,higherGeography,continent,waterBody,islandGroup,island,country,countryCode,stateProvince,county,municipality,locality,verbatimLocality,minimumElevationInMeters,maximumElevationInMeters,verbatimElevation,minimumDepthInMeters,maximumDepthInMeters,verbatimDepth,minimumDistanceAboveSurfaceInMeters,maximumDistanceAboveSurfaceInMeters,locationAccordingTo,locationRemarks,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertaintyInMeters,coordinatePrecision,pointRadiusSpatialFit,verbatimCoordinates,verbatimLatitude,verbatimLongitude,verbatimCoordinateSystem,verbatimSRS,footprintWKT,footprintSRS,footprintSpatialFit,georeferencedBy,georeferencedDate,georeferenceProtocol,georeferenceSources,georeferenceVerificationStatus,georeferenceRemarks,geologicalContextID,earliestEonOrLowestEonothem,latestEonOrHighestEonothem,earliestEraOrLowestErathem,latestEraOrHighestErathem,earliestPeriodOrLowestSystem,latestPeriodOrHighestSystem,earliestEpochOrLowestSeries,latestEpochOrHighestSeries,earliestAgeOrLowestStage,latestAgeOrHighestStage,lowestBiostratigraphicZone,highestBiostratigraphicZone,lithostratigraphicTerms,group,formation,member,bed,identificationID,identificationQualifier,typeStatus,identifiedBy,dateIdentified,identificationReferences,identificationVerificationStatus,identificationRemarks,taxonID,scientificNameID,acceptedNameUsageID,parentNameUsageID,originalNameUsageID,nameAccordingToID,namePublishedInID,taxonConceptID,scientificName,acceptedNameUsage,parentNameUsage,originalNameUsage,nameAccordingTo,namePublishedIn,namePublishedInYear,higherClassification,kingdom,phylum,_class,order,family,genus,subgenus,specificEpithet,infraspecificEpithet,taxonRank,verbatimTaxonRank,scientificNameAuthorship,vernacularName,nomenclaturalCode,taxonomicStatus,nomenclaturalStatus,taxonRemarks,measurementID,measurementType,measurementValue,measurementAccuracy,measurementUnit,measurementDeterminedBy,measurementDeterminedDate,measurementMethod,measurementRemarks,resourceRelationshipID,resourceID,relatedResourceID,relationshipOfResource,relationshipAccordingTo,relationshipEstablishedDate,relationshipRemarks,uniprot
11,,,es,,,,,,800086201-5,Registro Nacional de Colecciones:72,,Instituto para la Investigación y la Preservación del Patrimonio Cultural y Natural del Valle del Cauca,INCIVA,,,Espécime preservado,,,,INCIVA:TULV7720,TULV7720,3058,"W. Devia, R. Bernal, E. Linares",,,,,,,,,,,,https://flic.kr/p/wm2W7v,,,,,,,,,,,,,,,,,3/1/1990,,,,,,,,,,,,,,,,,,SA,,,,Colombia,,Valle del Cauca,Buenaventura,Bajo Calima,"Corregimiento Bajo Calima, Cartón Colombia, Km. 22 vía a Málaga, frente Hans.",,20,20,,,,,,,,,3.9333,-77.1333,WGS84,,,,,03°56'00''N,77°08'00''W,grados minutos segundos,,,,,"W. Devia, R. Bernal, E. Linares",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pseudoxandra,,,,,,,,Plantae,Magnoliophyta,Magnoliopsida,Magnoliales,ANNONACEAE,Pseudoxandra,,,,Género,,,,Cronquist81; APG3,,,,,,,,,,,,,,,,,,,,2528877
12,,,es,,,,,,800086201-5,Registro Nacional de Colecciones:72,,Instituto para la Investigación y la Preservación del Patrimonio Cultural y Natural del Valle del Cauca,INCIVA,,,Espécime preservado,,,,INCIVA:TULV7751,TULV7751,3088,"W. Devia, R. Bernal, E. Linares",,,,,,,,,,,,https://flic.kr/p/w2o7LU,,,,,,,,,,,,,,,,,3/2/1990,,,,,,,,,,,,,,,,,,SA,,,,Colombia,,Valle del Cauca,Buenaventura,Bajo Calima,"Corregimiento Bajo Calima, Cartón Colombia, Km. 22 vía a Malaga, frente Hans.",,20,20,,,,,,,,,3.9333,-77.1333,WGS84,,,,,03°56'00''N,77°08'00''W,grados minutos segundos,,,,,"W. Devia, R. Bernal, E. Linares",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Guatteria,,,,,,,,Plantae,Magnoliophyta,Magnoliopsida,Magnoliales,ANNONACEAE,Guatteria,,,,Género,,,,Cronquist81; APG3,,,,,,,,,,,,,,,,,,,,2528877
13,,,es,,,,,,800086201-5,Registro Nacional de Colecciones:72,,Instituto para la Investigación y la Preservación del Patrimonio Cultural y Natural del Valle del Cauca,INCIVA,,,Espécime preservado,,,,INCIVA:TULV7834,TULV7834,1258,D. Sanchez,,,,,,,,,,,,https://flic.kr/p/w1Vzcd,,,,,,,,,,,,,,,,,4/17/1987,,,,,,,,,,,,,,,,,,SA,,,,Colombia,,Antioquia,Frontino,,,,1900,1900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,D. Sanchez,1987,,,,,,,,,,,,Annona reticulata L.,,,,,,,,Plantae,Magnoliophyta,Magnoliopsida,Magnoliales,ANNONACEAE,Annona,,reticulata,,Especie,,L.,,Cronquist81; APG3,,,,,,,,,,,,,,,,,,,,2528877
14,,,es,,,,,,800086201-5,Registro Nacional de Colecciones:72,,Instituto para la Investigación y la Preservación del Patrimonio Cultural y Natural del Valle del Cauca,INCIVA,,,Espécime preservado,,,,INCIVA:TULV8578,TULV8578,70697,T. B. Croat,,,,,,,,,,,,https://flic.kr/p/wiZDoB,,,,,,,,,,,,,,,,,2/17/1990,,,,,,,,,,,,,,,,,,SA,,,,Colombia,,Valle del Cauca,Yotoco,,"Cordillera Occidental, eastern slopes, along highway between Dapa and Loboguerrero at Parque Yotoco.",,1550,1550,,,,,,,,,3.8667,-76.3667,WGS84,,,,,03°52'00''N,76°22'00''W,grados minutos segundos,,,,,T. B. Croat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Guatteria,,,,,,,,Plantae,Magnoliophyta,Magnoliopsida,Magnoliales,ANNONACEAE,Guatteria,,,,Género,,,,Cronquist81; APG3,,,,,,,,,,,,,,,,,,,,2528877
15,,,es,,,,,,800086201-5,Registro Nacional de Colecciones:72,,Instituto para la Investigación y la Preservación del Patrimonio Cultural y Natural del Valle del Cauca,INCIVA,,,Espécime preservado,,,,INCIVA:TULV8733,TULV8733,70612,T. B. Croat,,,,,,,,,,,,https://flic.kr/p/w1VsFu,,,,,,,,,,,,,,,,,2/16/1989,,,,,,,,,,,,,,,,,,SA,,,,Colombia,,Valle del Cauca,Tuluá,Monteloro,"Along road between Tulua and Sta. Lucia (via La Marina, La Moralia, Venus and Monteloro) SE of Tulua, at Hda. Piedritas,",,2100,2100,,,,,,,,,3.9167,-76.0667,WGS84,,,,,03°55'00''N,76°04'00''W,grados minutos segundos,,,,,T. B. Croat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Annona,,,,,,,,Plantae,Magnoliophyta,Magnoliopsida,Magnoliales,ANNONACEAE,Annona,,,,Género,,,,Cronquist81; APG3,,,,,,,,,,,,,,,,,,,,2600414
16,,,es,,,,,,800086201-5,Registro Nacional de Colecciones:72,,Instituto para la Investigación y la Preservación del Patrimonio Cultural y Natural del Valle del Cauca,INCIVA,,,Espécime preservado,,,,INCIVA:TULV8829,TULV8829,3135,W. Devia,,,,,,,,,,,,https://flic.kr/p/w2uRDB,,,,,,,,,,,,,,,,,9/14/1990,,,,,,,,,,,,,,,,,,SA,,,,Colombia,,Nariño,Tumaco,,,,100,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Guatteria,,,,,,,,Plantae,Magnoliophyta,Magnoliopsida,Magnoliales,ANNONACEAE,Guatteria,,,,Género,,,,Cronquist81; APG3,,,,,,,,,,,,,,,,,,,,2600414
17,,,es,,,,,,800086201-5,Registro Nacional de Colecciones:72,,Instituto para la Investigación y la Preservación del Patrimonio Cultural y Natural del Valle del Cauca,INCIVA,,,Espécime preservado,,,,INCIVA:TULV8845,TULV8845,3151,W. Devia,,,,,,,,,,,,https://flic.kr/p/w4KdE5,,,,,,,,,,,,,,,,,9/16/1990,,,,,,,,,,,,,,,,,,SA,,,,Colombia,,Nariño,Barbacoas,Junín,Vía Barbacoas-Junín.,,900,900,,,,,,,,,1.5167,-78.0833,WGS84,,,,,01°31'00''N,78°05'00''W,grados minutos segundos,,,,,W. Devia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rollinia,,,,,,,,Plantae,Magnoliophyta,Magnoliopsida,Magnoliales,ANNONACEAE,Rollinia,,,,Género,,,,Cronquist81; APG3,,,,,,,,,,,,,,,,,,,,2600414
18,,,es,,,,,,800086201-5,Registro Nacional de Colecciones:72,,Instituto para la Investigación y la Preservación del Patrimonio Cultural y Natural del Valle del Cauca,INCIVA,,,Espécime preservado,,,,INCIVA:TULV8854,TULV8854,3161,W. Devia,,,,,,,,,,,,https://flic.kr/p/wiZt1T,,,,,,,,,,,,,,,,,9/16/1990,,,,,,,,,,,,,,,,,,SA,,,,Colombia,,Nariño,Barbacoas,Junín,Vía Barbacoas-Junín.,,900,900,,,,,,,,,1.5167,-78.0833,WGS84,,,,,01°31'00''N,78°05'00''W,grados minutos segundos,,,,,W. Devia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Guatteria,,,,,,,,Plantae,Magnoliophyta,Magnoliopsida,Magnoliales,ANNONACEAE,Guatteria,,,,Género,,,,Cronquist81; APG3,,,,,,,,,,,,,,,,,,,,2600414
19,,,es,,,,,,800086201-5,Registro Nacional de Colecciones:72,,Instituto para la Investigación y la Preservación del Patrimonio Cultural y Natural del Valle del Cauca,INCIVA,,,Espécime preservado,,,,INCIVA:TULV8906,TULV8906,3237,W. Devia,,,,,,,,,,,,https://flic.kr/p/wjrcBk,,,,,,,,,,,,,,,,,5/6/1991,,,,,,,,,,,,,,,,,,SA,,,,Colombia,,Valle del Cauca,Buenaventura,Málaga,"Vía Malaga, Km. 47, bosque pluvial Tropical.",,50,50,,,,,,,,,3.9333,-77.1333,WGS84,,,,,03°56'00''N,77°08'00''W,grados minutos segundos,,,,,W. Devia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Guatteria,,,,,,,,Plantae,Magnoliophyta,Magnoliopsida,Magnoliales,ANNONACEAE,Guatteria,,,,Género,,,,Cronquist81; APG3,,,,,,,,,,,,,,,,,,,,2600414
20,,,es,,,,,,800086201-5,Registro Nacional de Colecciones:72,,Instituto para la Investigación y la Preservación del Patrimonio Cultural y Natural del Valle del Cauca,INCIVA,,,Espécime preservado,,,,INCIVA:TULV8913,TULV8913,3242,W. Devia,,,,,,,,,,,,https://flic.kr/p/vpozy3,,,,,,,,,,,,,,,,,5/14/1991,,,,,,,,,,,,,,,,,,SA,,,,Colombia,,Valle del Cauca,Buenaventura,Canalete,"Corregimiento Canalete, Km. 28, vía Málaga, bosque pluvial Tropical.",,30,30,,,,,,,,,3.9333,-77.1333,WGS84,,,,,03°56'00''N,77°08'00''W,grados minutos segundos,,,,,W. Devia,,,,,,,,,,,,,,,,,,,,,,,,,,,A. Castaño N.,2015,,,,,,,,,,,,Unonopsis,,,,,,,,Plantae,Magnoliophyta,Magnoliopsida,Magnoliales,ANNONACEAE,Unonopsis,,,,Género,,,,Cronquist81; APG3,,,,,,,,,,,,,,,,,,,,2600414
21,,,es,,,,,,800086201-5,Registro Nacional de Colecciones:72,,Instituto para la Investigación y la Preservación del Patrimonio Cultural y Natural del Valle del Cauca,INCIVA,,,Espécime preservado,,,,INCIVA:TULV10343,TULV10343,4290,"W. Devia, A. Cogollo, G. Ramirez, A. Cruz",,,,,,,,,,,,https://flic.kr/p/vpafKg,,,,,,,,,,,,,,,,,9/15/1993,,,,,,,,,,,,,,,,,,SA,,,,Colombia,,Valle del Cauca,Buenaventura,Córdoba,"Reserva Natural río Escalerete, bosque pluvial Tropical. Transecto 14.",,100,100,,,,,,,,,3.8281,-76.8694,WGS84,,,,,03°49'41''N,76°52'10''W,grados minutos segundos,,,,,"W. Devia, A. Cogollo, G. Ramirez, A. Cruz",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Oxandra,,,,,,,,Plantae,Magnoliophyta,Magnoliopsida,Magnoliales,ANNONACEAE,Oxandra,,,,Género,,,,Cronquist81; APG3,,,,,,,,,,,,,,,,,,,,2600414
22,,,es,,,,,,800086201-5,Registro Nacional de Colecciones:72,,Instituto para la Investigación y la Preservación del Patrimonio Cultural y Natural del Valle del Cauca,INCIVA,,,Espécime preservado,,,,INCIVA:TULV10344,TULV10344,3867,"W. Devia, D. Cardenas, A. Cruz",,,,,,,,,,,,https://flic.kr/p/w4zNNA,,,,,,,,,,,,,,,,,3/30/1993,,,,,,,,,,,,,,,,,,SA,,,,Colombia,,Valle del Cauca,Buenaventura,Córdoba,"Corregimiento Cordoba, Vereda San Cipriano, Reserva Natural río Escalerete, bosque pluvial Tropical, Región Fitogeografica del Chocó. Transecto 9.",,100,100,,,,,,,,,3.8281,-76.8694,WGS84,,,,,03°49'41''N,76°52'10''W,grados minutos segundos,,,,,"W. Devia, D. Cardenas, A. Cruz",,,,,,,,,,,,,,,,,,,,,,,,,,,D. Cardenas,1993,,,,,,,,,,,,Pseudoxandra pacifica Maas,,,,,,,,Plantae,Magnoliophyta,Magnoliopsida,Magnoliales,ANNONACEAE,Pseudoxandra,,pacifica,,Especie,,Maas,,Cronquist81; APG3,,,,,,,,,,,,,,,,,,,,2600414
23,,,es,,,,,,800086201-5,Registro Nacional de Colecciones:72,,Instituto para la Investigación y la Preservación del Patrimonio Cultural y Natural del Valle del Cauca,INCIVA,,,Espécime preservado,,,,INCIVA:TULV10345,TULV10345,4306,"W. Devia, A. Cogollo, G. Ramirez, A. Cruz",,,,,,,,,,,,https://flic.kr/p/wkJNB1,,,,,,,,,,,,,,,,,9/15/1993,,,,,,,,,,,,,,,,,,SA,,,,Colombia,,Valle del Cauca,Buenaventura,Córdoba,"Reserva Natural río Escalerete, bosque pluvial Tropical. Transecto 15.",,100,100,,,,,,,,,3.8281,-76.8694,WGS84,,,,,03°49'41''N,76°52'10''W,grados minutos segundos,,,,,"W. Devia, A. Cogollo, G. Ramirez, A. Cruz",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unonopsis,,,,,,,,Plantae,Magnoliophyta,Magnoliopsida,Magnoliales,ANNONACEAE,Unonopsis,,,,Género,,,,Cronquist81; APG3,,,,,,,,,,,,,,,,,,,,2600414
